Season	DayNum	WTeamID	WScore	LTeamID	LScore	WLoc	NumOT
2025	0	1104	110	1421	54	H	0
2025	0	1112	93	1145	64	H	0
2025	0	1117	80	1103	75	H	1
2025	0	1119	67	1107	59	H	0
2025	0	1130	69	1154	60	H	0
2025	0	1133	88	1369	60	H	0
2025	0	1137	85	1174	73	A	0
2025	0	1138	83	1330	82	A	0
2025	0	1139	72	1283	65	H	0
2025	0	1141	74	1375	70	A	0
2025	0	1143	86	1167	73	H	0
2025	0	1150	88	1342	79	H	0
2025	0	1153	109	1115	54	H	0
2025	0	1155	91	1149	64	H	0
2025	0	1157	60	1444	56	H	0
2025	0	1158	90	1356	80	N	0
2025	0	1160	76	1186	56	H	0
2025	0	1161	82	1315	56	H	0
2025	0	1162	81	1259	78	A	0
2025	0	1173	87	1384	57	H	0
2025	0	1177	80	1475	78	H	1
2025	0	1181	96	1263	62	H	0
2025	0	1194	97	1232	64	N	0
2025	0	1196	98	1378	83	N	0
2025	0	1199	74	1297	62	H	0
2025	0	1203	76	1479	59	H	0
2025	0	1204	80	1296	65	H	0
2025	0	1206	75	1300	58	H	0
2025	0	1208	83	1399	78	H	0
2025	0	1209	71	1123	66	H	0
2025	0	1211	101	1124	63	H	0
2025	0	1213	89	1168	79	H	0
2025	0	1217	79	1265	66	H	0
2025	0	1222	97	1238	40	H	0
2025	0	1228	112	1183	67	H	0
2025	0	1234	89	1477	67	H	0
2025	0	1235	83	1290	44	H	0
2025	0	1241	88	1325	78	H	0
2025	0	1242	87	1224	57	H	0
2025	0	1245	70	1418	66	A	0
2025	0	1246	103	1460	62	H	0
2025	0	1247	65	1110	52	H	0
2025	0	1251	83	1434	63	N	0
2025	0	1252	77	1182	72	A	0
2025	0	1257	93	1287	45	H	0
2025	0	1260	79	1152	72	H	0
2025	0	1266	102	1392	62	H	0
2025	0	1268	79	1264	49	H	0
2025	0	1269	103	1306	74	H	0
2025	0	1272	83	1281	75	H	0
2025	0	1274	113	1192	72	H	0
2025	0	1275	77	1111	63	A	0
2025	0	1276	101	1156	53	H	0
2025	0	1277	81	1284	57	H	0
2025	0	1279	90	1254	60	H	0
2025	0	1280	95	1480	60	H	0
2025	0	1301	97	1367	66	H	0
2025	0	1304	87	1410	67	H	0
2025	0	1305	91	1358	75	H	0
2025	0	1307	91	1311	84	H	0
2025	0	1314	90	1189	76	H	0
2025	0	1316	74	1376	71	A	0
2025	0	1318	80	1131	72	A	0
2025	0	1321	90	1250	46	H	0
2025	0	1326	80	1400	72	N	0
2025	0	1328	93	1473	60	H	0
2025	0	1329	89	1453	76	H	0
2025	0	1332	91	1415	76	H	0
2025	0	1333	80	1469	57	H	0
2025	0	1335	58	1312	57	A	0
2025	0	1336	108	1127	66	H	0
2025	0	1338	96	1347	56	H	0
2025	0	1343	81	1233	80	H	0
2025	0	1344	59	1148	55	H	0
2025	0	1345	90	1394	73	H	0
2025	0	1348	96	1193	58	H	0
2025	0	1355	80	1270	73	N	0
2025	0	1365	85	1387	78	N	0
2025	0	1371	57	1389	53	H	0
2025	0	1373	72	1135	71	H	1
2025	0	1374	96	1470	62	H	0
2025	0	1377	93	1380	79	H	0
2025	0	1379	77	1132	68	H	0
2025	0	1382	70	1169	56	H	0
2025	0	1385	92	1200	60	H	0
2025	0	1386	70	1298	63	H	0
2025	0	1388	76	1406	69	H	0
2025	0	1390	85	1176	62	H	0
2025	0	1393	86	1478	82	H	0
2025	0	1395	105	1197	59	H	0
2025	0	1396	81	1357	70	H	0
2025	0	1397	80	1205	64	H	0
2025	0	1402	64	1185	44	H	0
2025	0	1404	67	1229	65	A	0
2025	0	1407	84	1405	74	H	0
2025	0	1416	64	1401	61	H	0
2025	0	1417	85	1351	50	H	0
2025	0	1422	73	1195	64	H	0
2025	0	1424	93	1106	79	H	0
2025	0	1425	77	1151	51	H	0
2025	0	1428	100	1108	59	H	0
2025	0	1433	84	1468	65	H	0
2025	0	1435	102	1271	63	H	0
2025	0	1436	67	1412	62	A	0
2025	0	1437	75	1248	63	H	0
2025	0	1439	83	1175	60	H	0
2025	0	1442	59	1363	55	A	0
2025	0	1448	64	1164	49	H	0
2025	0	1450	100	1340	92	H	0
2025	0	1452	87	1352	59	H	0
2025	0	1455	91	1443	84	A	0
2025	0	1458	85	1221	61	H	0
2025	0	1462	78	1411	69	H	0
2025	0	1463	88	1346	62	H	0
2025	0	1465	83	1230	78	H	0
2025	0	1466	73	1102	57	A	0
2025	1	1113	55	1226	48	H	0
2025	1	1140	88	1146	50	H	0
2025	1	1243	89	1309	65	H	0
2025	1	1317	80	1191	63	H	0
2025	1	1349	77	1198	70	H	0
2025	1	1362	86	1142	78	H	0
2025	1	1403	94	1126	61	H	0
2025	1	1449	79	1413	73	H	0
2025	2	1116	76	1252	60	H	0
2025	2	1120	94	1436	43	H	0
2025	2	1129	87	1324	43	H	0
2025	2	1162	90	1437	80	A	0
2025	2	1163	92	1357	56	H	0
2025	2	1166	99	1410	86	H	0
2025	2	1169	97	1478	75	A	0
2025	2	1186	93	1370	86	H	0
2025	2	1207	85	1250	77	H	0
2025	2	1210	85	1480	62	H	0
2025	2	1219	93	1164	51	H	0
2025	2	1231	80	1188	61	H	0
2025	2	1261	95	1419	60	H	0
2025	2	1278	80	1331	57	H	0
2025	2	1323	89	1476	60	H	0
2025	2	1337	77	1442	64	H	0
