Season	DayNum	WTeamID	WScore	LTeamID	LScore	WLoc	NumOT	WFGM	WFGA	WFGM3	WFGA3	WFTM	WFTA	WOR	WDR	WAst	WTO	WStl	WBlk	WPF	LFGM	LFGA	LFGM3	LFGA3	LFTM	LFTA	LOR	LDR	LAst	LTO	LStl	LBlk	LPF
2025	0	3103	81	3209	73	H	0	20	53	8	20	33	41	14	30	14	18	4	4	17	26	72	11	33	10	12	10	20	11	13	9	9	33
2025	0	3104	115	3309	53	H	0	45	86	14	31	11	18	19	26	24	16	23	5	14	21	52	5	14	6	8	2	22	8	34	12	4	16
2025	0	3112	73	3426	54	H	0	25	63	4	18	19	22	7	31	12	17	11	4	24	17	52	3	12	17	26	6	24	5	21	8	1	25
2025	0	3113	74	3240	66	H	0	27	60	5	15	15	19	7	32	14	16	7	5	27	21	68	7	28	17	29	14	24	10	10	7	6	18
2025	0	3120	65	3356	31	H	0	27	67	5	10	6	10	15	31	15	18	16	5	18	10	50	3	11	8	13	9	21	6	27	8	3	16
2025	0	3123	60	3330	46	H	0	23	53	3	17	11	20	5	29	12	22	10	8	12	16	64	2	16	12	16	10	22	7	24	15	1	25
2025	0	3130	85	3248	55	H	0	33	70	7	17	12	17	16	26	19	11	13	5	10	21	60	9	22	4	4	6	19	12	17	5	0	12
2025	0	3131	60	3318	48	H	0	19	50	7	16	15	18	6	29	8	17	5	6	16	18	58	1	16	11	14	6	19	9	12	8	1	17
2025	0	3132	71	3379	67	H	0	23	51	7	20	18	30	14	20	15	24	8	5	27	25	62	1	16	16	28	19	18	12	20	15	3	24
2025	0	3136	65	3467	50	H	0	26	56	5	20	8	14	12	27	17	25	9	6	17	18	66	4	20	10	16	15	20	9	17	12	2	20
2025	0	3138	80	3407	78	H	0	23	65	7	20	27	38	10	28	16	7	7	0	24	29	69	10	35	10	21	13	34	11	18	3	8	33
2025	0	3143	90	3388	58	H	0	28	57	14	30	20	26	10	23	20	18	9	6	11	24	59	3	14	7	8	5	15	8	18	11	5	24
2025	0	3150	77	3342	63	H	0	27	57	4	18	19	28	11	15	20	20	13	1	19	23	50	5	21	12	16	12	18	13	35	7	0	24
2025	0	3155	78	3238	44	H	0	29	72	5	20	15	19	16	36	22	14	8	4	10	17	61	4	18	6	9	4	22	5	13	11	3	18
2025	0	3157	65	3141	62	A	0	24	61	9	25	8	16	7	23	16	20	9	6	22	24	62	3	20	11	21	12	25	12	26	6	0	19
